timestamp,day_of_week,hour_of_day,motion_duration,label
2024-05-20 02:15:00,0,2,180.0,1
2024-05-20 07:15:00,0,7,4.2,0
2024-05-20 12:30:00,0,12,8.0,0
2024-05-20 14:00:00,0,14,0.5,0
2024-05-20 18:45:00,0,18,15.0,0
2024-05-20 22:30:00,0,22,25.0,0
2024-05-21 01:00:00,1,1,0.1,1
2024-05-21 03:10:00,1,3,45.0,1
2024-05-21 08:20:00,1,8,2.1,0
2024-05-21 11:00:00,1,11,120.0,0
2024-05-21 13:30:00,1,13,5.0,0
2024-05-21 15:00:00,1,15,0.3,0
2024-05-21 19:00:00,1,19,30.0,0
2024-05-21 23:15:00,1,23,10.0,0
2024-05-22 00:45:00,2,0,90.0,1
2024-05-22 04:30:00,2,4,8.0,1
2024-05-22 09:00:00,2,9,1.0,0
2024-05-22 12:00:00,2,12,20.0,0
2024-05-22 16:45:00,2,16,0.5,0
2024-05-22 20:00:00,2,20,60.0,0
2024-05-22 23:50:00,2,23,5.0,0
2024-05-23 01:30:00,3,1,150.0,1
2024-05-23 06:00:00,3,6,2.0,0
2024-05-23 10:00:00,3,10,3.0,0
2024-05-23 14:00:00,3,14,10.0,0
2024-05-23 17:30:00,3,17,15.0,0
2024-05-23 21:00:00,3,21,5.0,0
2024-05-24 00:15:00,4,0,0.2,1
2024-05-24 03:00:00,4,3,240.0,1
2024-05-24 11:00:00,4,11,1.0,0
2024-05-24 15:00:00,4,15,120.0,0
2024-05-24 18:00:00,4,18,5.0,0
2024-05-24 22:00:00,4,22,30.0,0
2024-05-25 02:00:00,5,2,8.0,1
2024-05-25 07:00:00,5,7,0.1,0
2024-05-25 12:00:00,5,12,45.0,0
2024-05-25 16:00:00,5,16,0.5,0
2024-05-25 20:00:00,5,20,90.0,0
2024-05-26 00:30:00,6,0,5.0,1
2024-05-26 03:00:00,6,3,5.0,1
2024-05-26 10:00:00,6,10,20.0,0
2024-05-26 14:00:00,6,14,5.0,0
2024-05-26 18:00:00,6,18,10.0,0
2024-05-26 22:00:00,6,22,1.0,0
2024-05-27 07:15:00,0,7,3.8,0
2024-05-27 08:05:00,0,8,1.2,0
2024-05-27 12:45:00,0,12,9.2,0
2024-05-27 14:20:00,0,14,0.8,0
2024-05-27 18:30:00,0,18,12.5,0
2024-05-27 22:15:00,0,22,18.7,0
2024-05-28 01:45:00,1,1,0.05,1
2024-05-28 03:25:00,1,3,52.0,1
2024-05-28 08:10:00,1,8,2.5,0
2024-05-28 11:30:00,1,11,95.0,0
2024-05-28 13:45:00,1,13,4.2,0
2024-05-28 15:30:00,1,15,0.4,0
2024-05-28 19:15:00,1,19,22.0,0
2024-05-28 23:05:00,1,23,8.5,0
2024-05-29 00:20:00,2,0,110.0,1
2024-05-29 04:10:00,2,4,7.5,1
2024-05-29 09:20:00,2,9,0.9,0
2024-05-29 12:10:00,2,12,18.3,0
2024-05-29 16:55:00,2,16,0.6,0
2024-05-29 20:30:00,2,20,45.0,0
2024-05-29 23:40:00,2,23,4.2,0
2024-05-30 01:10:00,3,1,135.0,1
2024-05-30 06:15:00,3,6,1.8,0
2024-05-30 10:20:00,3,10,2.8,0
2024-05-30 14:10:00,3,14,8.7,0
2024-05-30 17:45:00,3,17,13.2,0
2024-05-30 21:10:00,3,21,4.8,0
2024-05-31 00:05:00,4,0,0.15,1
2024-05-31 03:45:00,4,3,210.0,1
2024-05-31 11:20:00,4,11,1.2,0
2024-05-31 15:45:00,4,15,105.0,0
2024-05-31 18:20:00,4,18,4.5,0
2024-05-31 22:30:00,4,22,25.8,0
2024-06-01 02:30:00,5,2,9.5,1
2024-06-01 07:20:00,5,7,0.08,0
2024-06-01 12:30:00,5,12,40.0,0
2024-06-01 16:15:00,5,16,0.7,0
2024-06-01 20:45:00,5,20,75.0,0
2024-06-02 00:50:00,6,0,6.2,1
2024-06-02 03:20:00,6,3,4.8,1
2024-06-02 10:15:00,6,10,18.5,0
2024-06-02 14:25:00,6,14,4.5,0
2024-06-02 18:40:00,6,18,9.8,0
2024-06-02 22:10:00,6,22,1.2,0
2024-06-03 02:15:00,0,2,185.0,1
2024-06-03 07:30:00,0,7,4.5,0
2024-06-03 12:20:00,0,12,7.8,0
2024-06-03 14:15:00,0,14,0.6,0
2024-06-03 18:50:00,0,18,14.2,0
2024-06-03 22:45:00,0,22,22.0,0
2024-06-04 01:20:00,1,1,0.12,1
2024-06-04 03:35:00,1,3,48.0,1
2024-06-04 08:25:00,1,8,2.3,0
2024-06-04 11:45:00,1,11,110.0,0
2024-06-04 13:50:00,1,13,5.5,0
2024-06-04 15:40:00,1,15,0.35,0
2024-06-04 19:30:00,1,19,28.0,0
2024-06-04 23:25:00,1,23,9.0,0
2024-06-05 00:55:00,2,0,95.0,1
2024-06-05 04:25:00,2,4,8.5,1
2024-06-05 09:10:00,2,9,1.1,0
2024-06-05 12:35:00,2,12,19.5,0
2024-06-05 17:05:00,2,17,0.55,0
2024-06-05 20:20:00,2,20,50.0,0
2024-06-05 23:55:00,2,23,5.5,0
2024-06-06 01:40:00,3,1,142.0,1
2024-06-06 06:20:00,3,6,2.1,0
2024-06-06 10:40:00,3,10,3.2,0
2024-06-06 14:35:00,3,14,9.8,0
2024-06-06 17:50:00,3,17,14.5,0
2024-06-06 21:25:00,3,21,5.2,0
2024-06-07 00:25:00,4,0,0.18,1
2024-06-07 03:55:00,4,3,225.0,1
2024-06-07 11:35:00,4,11,1.3,0
2024-06-07 15:20:00,4,15,115.0,0
2024-06-07 18:35:00,4,18,5.2,0
2024-06-07 22:40:00,4,22,27.0,0
2024-06-08 02:45:00,5,2,10.2,1
2024-06-08 07:45:00,5,7,0.09,0
2024-06-08 12:40:00,5,12,42.0,0
2024-06-08 16:30:00,5,16,0.65,0
2024-06-08 20:55:00,5,20,80.0,0
2024-06-09 01:05:00,6,0,5.8,1
2024-06-09 03:40:00,6,3,5.1,1
2024-06-09 10:50:00,6,10,17.8,0
2024-06-09 14:50:00,6,14,4.8,0
2024-06-09 19:05:00,6,19,10.5,0
2024-06-09 22:25:00,6,22,1.1,0
2024-06-10 02:25:00,0,2,175.0,1
2024-06-10 07:40:00,0,7,3.9,0
2024-06-10 12:55:00,0,12,8.5,0
2024-06-10 14:40:00,0,14,0.7,0
2024-06-10 19:15:00,0,19,16.8,0
2024-06-10 23:10:00,0,23,20.5,0
2024-06-11 01:55:00,1,1,0.07,1
2024-06-11 04:05:00,1,4,55.0,1
2024-06-11 08:35:00,1,8,2.4,0
2024-06-11 11:55:00,1,11,125.0,0
2024-06-11 14:05:00,1,14,4.8,0
2024-06-11 16:10:00,1,16,0.25,0
2024-06-11 19:40:00,1,19,26.5,0
2024-06-11 23:35:00,1,23,11.2,0
2024-06-12 00:30:00,2,0,105.0,1
2024-06-12 04:40:00,2,4,7.8,1
2024-06-12 09:45:00,2,9,0.95,0
2024-06-12 13:15:00,2,13,22.5,0
2024-06-12 17:20:00,2,17,0.45,0
2024-06-12 21:00:00,2,21,55.0,0
2024-06-13 00:10:00,3,0,4.2,0
2024-06-13 02:10:00,3,2,155.0,1
2024-06-13 06:45:00,3,6,1.9,0
2024-06-13 11:10:00,3,11,2.9,0
2024-06-13 15:25:00,3,15,11.5,0
2024-06-13 18:15:00,3,18,12.8,0
2024-06-13 22:05:00,3,22,6.0,0
2024-06-14 00:50:00,4,0,0.22,1
2024-06-14 04:15:00,4,4,195.0,1
2024-06-14 12:00:00,4,12,1.4,0
2024-06-14 16:40:00,4,16,98.0,0
2024-06-14 19:25:00,4,19,6.2,0
2024-06-14 23:45:00,4,23,32.0,0
2024-06-15 03:10:00,5,3,11.5,1
